#{"t_start": 1763052443.3852305, "env_id": "GridWorld-v3"}
r,l,t
-11.5,100,1.208383
-88.5,100,1.354208
-94.5,100,1.499214
-87.0,100,1.64016
-21.5,100,1.714369
-0.5,12,1.723876
-28.5,100,1.867704
-94.0,100,2.006875
-87.5,100,2.149838
-78.0,100,2.330412
-34.0,100,2.435338
-83.5,100,2.645998
-72.0,100,2.815578
-50.5,100,2.964446
10.0,23,2.985439
-77.5,100,3.143369
-128.5,100,3.237593
-67.0,100,3.383413
-4.0,87,3.526964
-96.5,100,3.669616
-11.5,100,3.813435
-122.5,100,3.8927
-100.0,100,4.040038
-138.0,100,4.181492
-115.0,100,4.328964
-64.0,100,4.443346
-17.5,100,4.643557
-33.5,100,4.810154
-99.5,100,4.974286
16.0,100,5.120954
-94.0,100,5.201266
48.5,100,5.363444
-61.5,100,5.51947
-78.0,100,5.664095
109.0,100,5.747652
-6.5,100,5.896849
-72.5,100,6.035148
-94.0,100,6.192262
-94.5,100,6.353477
-89.0,100,6.479527
-89.0,100,6.651847
-89.0,100,6.868678
-72.5,100,7.045315
-100.0,100,7.142854
-61.5,100,7.310279
37.5,100,7.4749
-12.0,100,7.647938
-49.5,100,7.80223
-88.5,100,7.885177
-89.0,100,8.040486
-99.5,100,8.203157
-83.5,100,8.358909
-26.0,48,8.400576
-128.5,100,8.557317
-45.0,100,8.716227
-94.5,100,8.828051
-94.5,100,8.994636
-72.5,100,9.141716
-83.0,100,9.300587
26.5,100,9.472046
-67.0,100,9.555816
37.5,100,9.71898
-100.0,100,9.862956
-89.0,100,10.019398
-89.0,100,10.115478
-17.5,100,10.268484
-72.5,100,10.428208
-94.5,100,10.586447
-104.0,100,10.742757
-67.0,100,10.826865
1.5,15,10.911143
54.0,100,10.996987
-83.5,100,11.168232
-34.0,100,11.338418
-17.5,100,11.512976
-77.5,100,11.608814
-100.0,100,11.76714
-39.0,100,11.922985
10.0,100,12.095423
-94.5,100,12.256059
-76.0,98,12.346003
10.0,100,12.562739
-83.5,100,12.725683
-100.0,100,12.883645
-100.0,100,12.970252
-89.0,100,13.144507
-99.5,100,13.305899
-100.0,100,13.464757
-67.0,100,13.724609
